network,location_idx,alpha,beta,extinction_prob,mean_activity,amplitude,period,Q,RI,RI_max,frac_rhythmic,class,n_survivors,n_total
net_A,0,0.0177827941003892,0.1,0.1,1247.4264444444443,202.92983011264982,12.808620034935824,2.8045735129068463,1.9335686466286472,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0177827941003892,0.15,0.1,1751.9553888888888,194.65143537281614,10.105210509654954,3.6901034151034153,1.4910335358146576,1.9306180158069768,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0177827941003892,0.2,0.0,2195.6682,194.21066395240538,8.98561371722662,5.186262626262627,1.4331149862309682,1.6245034008793418,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.25,0.2,2589.284125,194.88684585970145,8.203571074894604,4.574902181152181,1.0597404267801194,1.425301393345827,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0177827941003892,0.3,0.0,2940.33385,200.85924488029326,7.588906619636842,4.256223893065998,1.1538646701960291,1.887201436992877,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.35,0.0,3253.579,210.90130359261866,6.8662735688273715,4.20947209653092,1.2338231696880926,1.830789769070792,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.4,0.0,3537.1171999999997,212.70020748636767,6.43330310068715,4.4638669826905115,1.4124000194075177,1.8884666154030179,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.45,0.1,3793.092,223.15927331144024,5.95405721475324,7.150223850223849,1.297188607304019,1.77655298851907,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0177827941003892,0.5,0.0,4026.0341500000004,233.7809712117393,5.63589735701248,5.305137085137085,1.2261433446868506,1.9782774036239898,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.55,0.0,4238.3289,239.96334889790296,5.343338866032286,4.099676344896933,1.3450320889268976,1.999,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.6,0.1,4432.666111111112,251.74731714161226,5.034415059764476,7.104650515176831,1.3826767596174696,1.999,0.0,WEAKLY_RHYTHMIC,9.0,10
net_A,0,0.0177827941003892,0.65,0.0,4612.6517,251.7617027340636,4.856981403874075,6.922234530175707,1.2643169935725012,1.776973860178656,0.0,WEAKLY_RHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.7,0.0,4776.9732,266.14706454018244,4.677079983940238,7.682705627705627,0.8842607177905795,1.569346456885168,0.0,ARRHYTHMIC,10.0,10
net_A,0,0.0177827941003892,0.75,0.1,4928.764722222222,279.462718782256,4.423274475864465,6.934920634920634,1.100547315374457,1.3774490672052437,0.0,WEAKLY_RHYTHMIC,9.0,10
