constant,default,multiplier,value,ordering_valid,n,eo_mean,ec_mean,dz,t,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,dz_norej,p_norej,n_up_norej,rho_Q_RI,top1_frac_below2,frac_label_changed,rank_corr_vs_base,frac_rhythmic,exemplar_RI,comparison_RI,maxQ_RI,all_conclusions_hold
t_r,0.4,1.4,0.56,True,15,1.1669564178071463,1.6656838611754843,1.1665705352466806,4.518108255186667,0.00048219595451058097,15,0.2693726937269373,0.0,1.5155976512611928,1.7908302500710124e-06,20,-0.00524555692369744,1.0,0.043977215614005694,0.9952326359587133,0.0006701289998324678,1.6371952324687022,1.3419616672802244,1.4121943241023478,False
t_r,0.4,1.45,0.58,True,15,1.1669564178071463,1.6488653841683987,1.133709189184644,4.39083680915444,0.0006155774357558964,15,0.25092250922509224,0.0,1.520926240145968,1.7066968517298214e-06,20,-0.005250141605904218,1.0,0.04431228011392193,0.9952321810551811,0.0003350644999162339,1.6371952324687022,1.3419616672802244,1.4121943241023478,False
t_r,0.4,1.5,0.6,True,15,1.1669564178071463,1.6291261091697726,1.1067135642799217,4.286283203477988,0.0007532774549239502,15,0.22140221402214022,0.0,1.553411299881448,1.2748912739765117e-06,20,-0.005251387752114806,1.0,0.044479812363880045,0.9952320404847985,0.00016753224995811694,1.6371952324687022,1.3419616672802244,1.4121943241023478,False
t_rw,0.2,0.5,0.1,False,15,1.264928948797763,1.951813286411659,1.4333496269422006,5.551339234439756,7.138050960903315e-05,15,0.4870848708487085,0.031914893617021274,1.4898243549822567,2.2625680880951553e-06,20,0.028067173728445395,1.0,0.015999329871000167,0.5553594286872757,0.044647344613838166,2.378151680316238,1.5636382953338352,1.6453863026600493,True
t_rw,0.2,0.55,0.11,True,15,1.2472413473594728,1.9405260064914138,1.4324738755423936,5.5479474638528865,7.1813122834403e-05,15,0.4870848708487085,0.031914893617021274,1.4903862598353321,2.2510207173753692e-06,20,0.04637663860916993,1.0,0.015664265371083935,0.6222563468503708,0.044647344613838166,2.378151680316238,1.5636382953338352,1.6453863026600493,True
t_rw,0.2,0.6,0.12,True,15,1.2324251896766814,1.9310653730378853,1.4279625533125688,5.530475187987399,7.40854115937787e-05,15,0.4870848708487085,0.031914893617021274,1.4891875109306483,2.2757294445784834e-06,20,0.05938651428775225,1.0,0.015496733121125816,0.6915186084427621,0.044647344613838166,2.378151680316238,1.5636382953338352,1.6453863026600493,True
t_rw,0.2,0.65,0.13,True,15,1.2196418907196704,1.92405281577624,1.4265032912396287,5.52482349028115,7.483637028309233e-05,15,0.4870848708487085,0.031914893617021274,1.4907672343872058,2.2432261587191824e-06,20,0.06700432763507021,1.0,0.014826604121293349,0.7585525642353742,0.044647344613838166,2.378151680316238,1.5636382953338352,1.617926310666526,True
t_rw,0.2,0.7,0.14,True,15,1.2085600975084967,1.9188871927161073,1.4259513416114813,5.522685798563391,7.512247731765834e-05,15,0.4870848708487085,0.031914893617021274,1.4909429578896156,2.2396403338017876e-06,20,0.06960149038572043,1.0,0.01365387837158653,0.8198128642683872,0.044647344613838166,2.378151680316238,1.539373167096157,1.5885360268716435,True
t_rw,0.2,0.75,0.15,True,15,1.199643978797668,1.9149416121759084,1.4247929638605008,5.518199420825225,7.572664585405401e-05,15,0.4870848708487085,0.031914893617021274,1.4908651880189236,2.241226580257827e-06,20,0.06740513937238493,1.0,0.01256491874685877,0.8734799128010013,0.044647344613838166,2.378151680316238,1.5064712504601683,1.559145743076761,True
t_rw,0.2,0.8,0.16,True,15,1.1931655807509378,1.9119237337737167,1.4225232179561544,5.50940873273757,7.692520075441031e-05,15,0.4870848708487085,0.031914893617021274,1.4905763009368262,2.2471290778009226e-06,20,0.06015500963987125,1.0,0.010638297872340425,0.9182246599045223,0.044647344613838166,2.378151680316238,1.4735693338241793,1.5297554592818783,True
